search 	 搜索
flight 	 飞行
what flights leave pittsburgh after 5 pm on thursday and arrive in los angeles 	 星期四下午5点后什么飞机从匹兹堡出发并到达洛杉矶
flight 	 飞行
i'd like a flight tomorrow from san diego to toronto 	 我想明天从圣地亚哥飞往多伦多的航班
airline 	 航空公司
what airlines fly into salt lake city 	 哪些航空公司飞往盐湖城
flight 	 飞行
i need a flight from boston to denver 	 我需要从波士顿飞往丹佛的航班
flight 	 飞行
requesting flight information for flight from boston to baltimore on tuesday 	 要求在星期二从波士顿飞往巴尔的摩的航班的航班信息
flight 	 飞行
show me flights from atlanta to washington please 	 请告诉我从亚特兰大飞往华盛顿的航班
flight 	 飞行
what flights from washington dc to toronto 	 从华盛顿特区到多伦多的航班
flight 	 飞行
what about a flight from boston to san francisco stopping in denver 	 从波士顿到旧金山的航班在丹佛停留怎么办
flight 	 飞行
show me the flights from san diego to newark new jersey 	 告诉我从圣地亚哥飞往纽瓦克的航班
airfare 	 机票
show me the cheapest fare from baltimore to dallas 	 告诉我从巴尔的摩到达拉斯的最便宜的车费
flight 	 飞行
show me flights from dallas to pittsburgh 	 告诉我从达拉斯到匹兹堡的航班
airfare 	 机票
what are the cheapest fares for flights from newark to la leaving wednesday after 3 pm 	 从纽瓦克（Newark）到拉（La）的航班最便宜的票价是什么
flight 	 飞行
do you have a 747 that flies from san francisco to baltimore 	 你有从旧金山飞往巴尔的摩的747飞机吗
flight 	 飞行
show me all flights from montreal 	 告诉我所有从蒙特利尔出发的航班
aircraft 	 飞机
list types of planes that fly between pittsburgh and baltimore 	 列出在匹兹堡和巴尔的摩之间飞行的飞机类型
flight 	 飞行
are there any flights between philadelphia and denver 	 费城和丹佛之间有航班吗
ground 	 地面
train to newark 	 火车到纽瓦克
flight 	 飞行
what flights from atlanta to toronto 	 从亚特兰大飞往多伦多的航班
flight 	 飞行
list the earliest flights from st.paul to houston 	 列出最早的航班从圣。休斯敦保罗
flight 	 飞行
i'd like to fly from boston to san francisco 	 我想从波士顿飞往旧金山
flight 	 飞行
show me some information on making a reservation from philadelphia to denver on sunday 	 向我展示一些有关在周日预订费城至丹佛的信息
flight 	 飞行
list all united flights from boston to san francisco with fare code qx 	 列出所有从波士顿到旧金山的联合航班，票价代码为qx
flight 	 飞行
leave flight from boston to atlanta leave boston approximately 1 pm 	 离开波士顿到亚特兰大的航班离开波士顿大约下午1点
airfare 	 机票
i'd like the cheapest one way fare from boston to atlanta please 	 我想要从波士顿到亚特兰大最便宜的单程票价
flight 	 飞行
give me flights that arrive in baltimore from denver 	 给我从丹佛到达巴尔的摩的航班
flight 	 飞行
when does continental fly from philadelphia to denver on sundays 	 星期日何时从费城飞到丹佛
flight 	 飞行
what flights from philadelphia to atlanta 	 从费城到亚特兰大有哪些航班
abbreviation 	 缩写
what does dfw mean 	 dfw是什么意思
flight 	 飞行
what time are the flights from baltimore to san francisco 	 巴尔的摩到旧金山航班什么时候
flight 	 飞行
what flights are available tomorrow from denver to philadelphia 	 明天从丹佛到费城有哪些航班
abbreviation 	 缩写
what is sa 	 什么是萨
flight 	 飞行
show me the flights from dallas to atlanta 	 告诉我从达拉斯到亚特兰大的航班
flight 	 飞行
show me all flights from denver to san francisco next wednesday which leave after noon 	 显示下周三从丹佛到旧金山的所有航班，中午之后出发
flight 	 飞行
i would like flights between boston and atlanta on july eleven departing at one in the afternoon 	 我想在7月11日下午从波士顿到亚特兰大之间的航班在一个下午出发
flight 	 飞行
list all flights leaving denver on continental on sunday 	 列出周日在大陆上离开丹佛的所有航班
flight 	 飞行
show me flights from baltimore to philadelphia 	 告诉我从巴尔的摩飞往费城的航班
flight 	 飞行
show me flights from denver to philadelphia 	 告诉我从丹佛到费城的航班
ground 	 地面
is there ground transportation from the boston airport to downtown boston 	 从波士顿机场到波士顿市区有地面交通吗
flight 	 飞行
what are your flights from denver to baltimore 	 您从丹佛到巴尔的摩的航班是多少
flight 	 飞行
please list all flights leaving on thursday morning from new york city to toronto 	 请列出周四早上从纽约市飞往多伦多的所有航班
flight 	 飞行
please list the cheapest flight from dallas to baltimore arriving on may seventh 	 请列出从达拉斯到巴尔的摩的最便宜航班
flight 	 飞行
please list the flights taking off and landing on general mitchell international airport 	 请列出在米切尔将军国际机场起飞和降落的航班
flight 	 飞行
i need a flight from denver to pittsburgh on july seventh that leaves in the afternoon 	 我需要7月7日从丹佛飞往匹兹堡的航班，下午出发
aircraft 	 飞机
i'm traveling from boston to atlanta and i'd like to go sometime after 5 pm but i want to know what kind of airplane it's on 	 我要从波士顿旅行到亚特兰大，我想在下午5点以后去，但是我想知道它在乘坐哪种飞机
flight 	 飞行
show me the flights from philadelphia to baltimore in the morning 	 告诉我早上从费城到巴尔的摩的航班
flight 	 飞行
show me the cheapest flights from san francisco to boston 	 给我展示从旧金山到波士顿的最便宜航班
ground 	 地面
show me ground transportation information for dallas fort worth 	 向我显示达拉斯堡值得的地面交通信息
flight 	 飞行
could you tell me if delta flight 296 serves breakfast 	 你能告诉我三角洲296航班是否提供早餐
ground 	 地面
what price is a limousine service to new york's la guardia 	 纽约拉瓜迪亚的豪华轿车服务价格是多少
flight 	 飞行
please list the flights from phoenix to san diego 	 请列出从凤凰城飞往圣地亚哥的航班
flight 	 飞行
what flights leave la guardia for san jose and arrive 10 pm 	 哪些航班从拉瓜迪亚机场出发前往圣何塞，并于晚上10点到达
capacity 	 容量
what is the seating capacity for the f28 	 f28的座位数是多少
airfare 	 机票
i need fare information from denver to pittsburgh 	 我需要从丹佛到匹兹堡的票价信息
airline 	 航空公司
please show me airlines with flights from boston to denver 	 请告诉我有从波士顿飞往丹佛的航班的航空公司
flight 	 飞行
what flights are available from pittsburgh to boston on wednesday of next week 	 下星期三从匹兹堡到波士顿有哪些航班
airfare 	 机票
can you show me the economy fare flights from baltimore to dallas 	 你能告诉我从巴尔的摩到达拉斯的经济舱机票吗
flight 	 飞行
information on first class round trip from pittsburgh to san francisco 	 从匹兹堡到旧金山的头等往返信息
airfare 	 机票
i would like to see the economy fares for pittsburgh to philadelphia 	 我希望看到匹兹堡到费城的经济舱位
flight 	 飞行
what are the flights from las vegas to burbank on saturday may twenty two 	 星期六从拉斯维加斯到伯班克的航班是多少？
flight 	 飞行
list all flights on continental from denver to chicago which depart after 934 pm 	 列出从丹佛到芝加哥的所有大陆航班，从934 pm起飞
flight 	 飞行
show me flights denver to washington on wednesday 	 星期三给我看丹佛飞往华盛顿的航班
flight 	 飞行
list all flights from boston to san francisco with more than 3 stops 	 列出从波士顿到旧金山的所有航班，超过3个站点
airfare 	 机票
what is the cost of united airlines flight 415 from chicago to kansas city thursday night 	 联合航空从芝加哥飞往堪萨斯城星期四夜间的航班415的费用是多少
flight 	 飞行
please give me the flight times the morning on united airlines for september twentieth from philadelphia to san francisco 	 请给我早上9月20日从费城到旧金山的联合航空公司的飞行时间
flight 	 飞行
continental airlines on saturday from chicago to seattle 	 星期六从芝加哥到西雅图的大陆航空公司
flight 	 飞行
i would like a flight from boston to san francisco on august seventeenth 	 我想在8月17日从波士顿飞往旧金山
flight 	 飞行
what flights from kansas city to chicago next wednesday arrive at chicago at about 7 pm 	 下周三从堪萨斯城飞往芝加哥的航班将在晚上7点左右到达芝加哥
flight 	 飞行
give me a flight from philadelphia to denver on sunday 	 星期天送我从费城飞往丹佛的航班
flight 	 飞行
all flights from sfo to long beach 	 所有的航班，从科特迪瓦为长滩
flight 	 飞行
show me flights from pittsburgh to los angeles thursday evening 	 告诉我从匹兹堡到洛杉矶的航班星期四晚上
flight 	 飞行
looking for a flight to salt lake city 	 寻找飞往盐湖城的航班
flight 	 飞行
please list all flights from philadelphia to boston 	 请列出所有从费城到波士顿的航班
flight 	 飞行
what is the earliest breakfast flight from philadelphia to fort worth 	 从费城到沃思堡最早的早餐航班是什么
aircraft 	 飞机
what is the aircraft type with the greatest seating capacity 	 座位最多的飞机是什么类型
aircraft 	 飞机
i would like to know what type of aircraft will be used on the morning of july seventh from atlanta to boston 	 我想知道7月7日上午从亚特兰大飞往波士顿将使用哪种飞机
flight 	 飞行
show me all the flights from denver to las vegas 	 显示所有从丹佛到拉斯维加斯的航班
flight 	 飞行
list all nonstop flights on tuesday before noon from charlotte to baltimore 	 列出中午前一天从夏洛特到巴尔的摩的所有直飞航班
flight 	 飞行
flying from pittsburgh to philadelphia on us air 	 从匹兹堡飞往费城的航班
flight 	 飞行
i want a flight that leaves thursday around 7 pm from chicago to kansas city 	 我想要一个从芝加哥到堪萨斯城的星期四晚上7点左右离开的航班
aircraft 	 飞机
what type of airplane is an m80 	 M80是什么类型的飞机
flight 	 飞行
show me the flights from baltimore to atlanta 	 告诉我从巴尔的摩飞往亚特兰大的航班
flight 	 飞行
also show me all flights from oakland to denver 	 还显示所有从奥克兰到丹佛的航班
flight 	 飞行
what's the schedule of flights from atlanta to boston on august first 	 8月1日从亚特兰大飞往波士顿的航班时间表是什么
flight 	 飞行
give me a list of the morning flights from atlanta to boston 	 给我一份从亚特兰大飞往波士顿的早上航班的清单
flight 	 飞行
please list the flights from denver to phoenix 	 请列出从丹佛到凤凰城的航班
airfare 	 机票
show me prices and times for first class travel from baltimore to dallas next summer 	 告诉我明年夏天从巴尔的摩到达拉斯的头等舱旅行的价格和时间
flight 	 飞行
show the flights from milwaukee to orlando on a thursday morning 	 显示在周四早晨从密尔沃基飞往奥兰多的航班
flight 	 飞行
show me flights between memphis and las vegas on sunday 	 星期天告诉我孟菲斯和拉斯维加斯之间的航班
airfare 	 机票
what are the cost of morning flights from atlanta to baltimore 	 早上从亚特兰大飞往巴尔的摩的机票价格是多少
airline 	 航空公司
what airlines are there 	 那里有什么航空公司
flight 	 飞行
what flights leave san francisco on monday night and arrive at atlanta later in the evening 	 周一晚上哪些航班从旧金山出发，晚上晚些时候到达亚特兰大
flight 	 飞行
show me the last flight from denver to boston 	 告诉我从丹佛到波士顿的最后一次飞行
flight 	 飞行
can you tell me the afternoon nonstop flights departing from atlanta to boston 	 你能告诉我下午从亚特兰大飞往波士顿的直飞航班吗
flight 	 飞行
show me one way flights from tampa to st.louis departing before 10 am 	 告诉我从坦帕到圣胡安的单程航班路易斯在上午10点之前出发
flight 	 飞行
show me the first class flights from denver to baltimore 	 告诉我从丹佛到巴尔的摩的头等舱机票
flight 	 飞行
what flights go from denver to san francisco 	 从丹佛到旧金山有哪些航班
flight 	 飞行
what is the coach economy class night service from boston to san francisco 	 从波士顿到旧金山的经济舱夜班车是什么
flight 	 飞行
which flights go from philadelphia to san francisco 	 从费城到旧金山有哪些航班
flight 	 飞行
what are the flights for united airlines on september twentieth in the morning 	 联合航空公司在9月20日上午有哪些航班
flight 	 飞行
i want a flight on twa from boston to san francisco 	 我想要从波士顿飞往旧金山的twa航班
flight 	 飞行
please show me flights from philadelphia to baltimore between 10 am and 2 pm 	 请向我显示从费城到巴尔的摩的航班，时间为上午10点至下午2点
flight 	 飞行
also show me the first flight from atlanta to denver on a thursday 	 还告诉我星期四从亚特兰大飞往丹佛的首趟航班
flight 	 飞行
what is the earliest flight that i can get from bwi to boston logan 	 我从bwi到波士顿洛根最早的航班是多少
flight 	 飞行
now i need a flight from detroit to san diego leaving tuesday evening 	 现在我需要从底特律飞往圣地亚哥的航班离开星期二晚上
flight 	 飞行
is breakfast served on flight ua 343 from boston to denver coach class 	 从波士顿到丹佛的UA 343航班上的早餐
flight 	 飞行
list the cheapest flight from charlotte to memphis 	 列出从夏洛特至孟菲斯最便宜的航班
flight 	 飞行
can you list the latest flights from oakland to salt lake city on wednesday 	 您能列出星期三从奥克兰到盐湖城的最新航班吗
flight 	 飞行
i want a flight on continental from boston to san francisco 	 我想从波士顿飞往旧金山的大陆航班
flight 	 飞行
i'd like to go from boston to san francisco stopping in pittsburgh 	 我想从波士顿到旧金山在匹兹堡停留
flight 	 飞行
find the earliest breakfast flight from boston to oakland 	 查找从波士顿到奥克兰的最早的早餐航班
flight 	 飞行
what is the total schedule for delta's flights to all airports 	 达美航空飞往所有机场的总时间表是多少？
flight 	 飞行
what is the cheapest flight flying from boston to atlanta before 8 	 从8点到波士顿最便宜的航班是多少
flight 	 飞行
show me the earliest flight on thursday from atlanta to washington 	 告诉我在星期四从亚特兰大到华盛顿的最早航班
flight 	 飞行
what is the most expensive flight from dallas to baltimore 	 从达拉斯到巴尔的摩最昂贵的航班是什么
flight 	 飞行
is there a flight from pittsburgh to baltimore that arrives between 6 and 7 pm 	 有从匹兹堡到巴尔的摩的航班，在下午6点至晚上7点之间到达
flight 	 飞行
what is the earliest flight from boston to washington 	 从波士顿到华盛顿的最早航班是多少
airfare 	 机票
what are the coach fares for flights from charlotte to newark tuesday evening 	 从夏洛特到纽瓦克星期二晚上的长途汽车票价是多少
airport 	 飞机场
what is the name of the airport at denver 	 丹佛机场的名字是什么
flight 	 飞行
what's the cheapest flight from atlanta to baltimore 	 最便宜的航班从亚特兰大到巴尔的摩
flight 	 飞行
give me flights that arrive in baltimore from atlanta 	 给我从亚特兰大到达巴尔的摩的航班
flight 	 飞行
flight from dallas to oakland california on monday 	 星期一从达拉斯飞往加利福尼亚奥克兰的航班
ground 	 地面
how expensive is the san francisco limousine service 	 旧金山豪华轿车服务多少钱
flight 	 飞行
i would like a flight from baltimore to san francisco on twa with a stop in denver 	 我想在twa上从巴尔的摩飞往旧金山的航班在丹佛停留
airfare 	 机票
i would like the cheapest one way fare from dallas to denver 	 我想要从达拉斯到丹佛最便宜的单程票价
flight 	 飞行
list the flights between san jose and houston 	 列出圣何塞和休斯顿之间的航班
flight 	 飞行
what flights from kansas city to denver 	 从堪萨斯城飞往丹佛的航班
airfare 	 机票
show me fares from dallas to baltimore that cost less than 300 dollars 	 告诉我从达拉斯到巴尔的摩的票价不到300美元
airfare 	 机票
how much does flight ua 281 from boston to denver cost 	 从波士顿到丹佛的UA 281航班多少钱
flight 	 飞行
show me flights from atlanta to baltimore 	 告诉我从亚特兰大飞往巴尔的摩的航班
abbreviation 	 缩写
what does lax stand for 	 松懈代表什么
flight 	 飞行
list flights from san jose to houston next sunday 	 列出下周日从圣何塞飞往休斯敦的航班
flight 	 飞行
show me the least expensive flight from miami to new york on a sunday with first class fare 	 告诉我每周一班从迈阿密到纽约的最便宜机票
ground 	 地面
ground transportation in las vegas 	 拉斯维加斯的地面运输
flight 	 飞行
i want to fly boston to san francisco 	 我想将波士顿飞往旧金山
flight 	 飞行
show me flights from san francisco to denver 	 告诉我从旧金山到丹佛的航班
flight 	 飞行
what is the earliest flight from boston to denver 	 从波士顿到丹佛的最早航班是多少
flight 	 飞行
i would like an early morning flight from chicago into seattle on continental airlines 	 我想从芝加哥乘飞机从西雅图飞往西雅图的清晨航班
flight 	 飞行
give me a flight from tampa to charlotte on sunday 	 星期天给我从坦帕飞往夏洛特的航班
abbreviation 	 缩写
what does nw stand for 	 nw代表什么
flight 	 飞行
show me the flights from boston to pittsburgh on wednesday or thursday 	 告诉我星期三或星期四从波士顿到匹兹堡的航班
flight 	 飞行
i need to fly from pittsburgh to oakland and depart in the afternoon 	 我需要从匹兹堡飞往奥克兰，然后下午出发
flight 	 飞行
i want a flight from atlanta to washington that leaves after 3 pm 	 我想要从亚特兰大飞往华盛顿的航班，下午3点后出发
flight 	 飞行
i need information on flights leaving dallas arriving in boston leaving dallas early in the morning 	 我需要有关离开达拉斯的航班的信息，并于清晨离开波士顿
flight 	 飞行
list flights between oakland and san francisco 	 列出奥克兰和旧金山之间的航班
flight 	 飞行
show me the one way flights from detroit to westchester county 	 告诉我从底特律到威彻斯特县的单程航班
flight 	 飞行
flight between st.petersburg and charlotte 	 圣约翰之间的飞行圣彼得堡和夏洛特
flight 	 飞行
show me all flights that arrive in philadelphia from baltimore denver or pittsburgh 	 告诉我所有从巴尔的摩丹佛或匹兹堡抵达费城的航班
ground 	 地面
i need information on ground transportation from the airport in atlanta 	 我需要从亚特兰大机场起飞的地面运输信息
flight 	 飞行
show me flights from anywhere to philadelphia arriving after 2100 	 告诉我2100年后从费城到费城的航班
flight 	 飞行
show me the flights from boston to philadelphia 	 告诉我从波士顿到费城的航班
flight 	 飞行
i would like the time your earliest flight from washington to philadelphia 	 我想要你最早从华盛顿飞往费城的时间
flight 	 飞行
flights from oakland to san francisco on january twenty first 1992 	 1992年1月20日从奥克兰飞往旧金山的航班
flight 	 飞行
what are the cheapest one way flights from atlanta to pittsburgh 	 从亚特兰大到匹兹堡最便宜的单程航班是什么
flight 	 飞行
show me all the flights that arrive in baltimore in the evening 	 告诉我晚上所有到达巴尔的摩的航班
flight 	 飞行
what are the flights from boston to denver on tuesday october fifteenth 	 从波士顿到丹佛的航班在10月15日星期二是多少
abbreviation 	 缩写
what does fare code y mean 	 票价代码y是什么意思
flight 	 飞行
i want to fly from boston to san francisco 	 我想从波士顿飞往旧金山
flight 	 飞行
i would like a nonstop flight from new york to las vegas on march second 	 我想在3月2日从纽约直飞拉斯维加斯
ground 	 地面
what is the cost of limousine service in philadelphia 	 费城豪华轿车服务的费用是多少
flight 	 飞行
i need a flight from newark to los angeles leaving tomorrow evening 	 我需要从纽瓦克飞往洛杉矶的航班，明天晚上出发
flight 	 飞行
i'd like to fly round trip from boston to pittsburgh 	 我想从波士顿飞往匹兹堡
flight 	 飞行
show me all the flights that go from baltimore to seattle 	 告诉我所有从巴尔的摩到西雅图的航班
flight 	 飞行
i'd like the first flight in the morning from boston to washington 	 我想早上从波士顿飞往华盛顿的首趟航班
distance 	 距离
how far is it from salt lake city airport to salt lake city 	 从盐湖城机场到盐湖城有多远
airline 	 航空公司
what is airline nw 	 什么是西北航空公司
abbreviation 	 缩写
what is dl 	 什么是dl
flight 	 飞行
show me all flights from atlanta to denver which leave after 5 o'clock pm the day after tomorrow 	 告诉我所有从亚特兰大飞往丹佛的航班，这些航班将在后天下午5点之后起飞
airfare 	 机票
can you show me the price of a flight to washington from atlanta on thursday morning 	 你能告诉我星期四早上从亚特兰大去华盛顿的航班价格吗
flight 	 飞行
please show me the return flights from miami to new york 	 请告诉我从迈阿密到纽约的回程航班
flight 	 飞行
what is the first flight arriving in montreal from toronto friday 	 从多伦多星期五到达蒙特利尔的第一班航班是什么
airfare 	 机票
what is the least expensive one way fare between philadelphia and boston 	 费城和波士顿之间最便宜的单程票价是多少
flight 	 飞行
what are the flights from baltimore to dallas on sunday night 	 星期日晚上从巴尔的摩到达拉斯的航班有哪些
flight 	 飞行
may i have a listing of flights from minneapolis to long beach california on tuesday 	 我能在星期二列出从明尼阿波利斯到加利福尼亚长滩的航班吗
flight 	 飞行
what flights from st.paul to kansas city on friday with lunch served 	 从圣约翰出发的航班保罗在星期五前往堪萨斯城，供应午餐
flight 	 飞行
i would like to fly to san francisco from washington dc 	 我想从华盛顿特区飞往旧金山
flight 	 飞行
i need a flight from long beach to st.louis stopping in dallas the flight should also serve lunch 	 我需要从长滩到圣约翰的航班。路易斯在达拉斯停飞航班也应提供午餐
distance 	 距离
how long does it take to get from denver to oakland 	 从丹佛到奥克兰需要多长时间
airfare 	 机票
what is the fare from atlanta to boston on coach one way 	 从亚特兰大到波士顿的长途汽车票价是多少
flight 	 飞行
show me all flights from san francisco to boston philadelphia or baltimore 	 显示所有从旧金山到波士顿费城或巴尔的摩的航班
flight 	 飞行
which flights leaving baltimore to dallas on monday afternoon have economic class 	 星期一下午从巴尔的摩飞往达拉斯的哪些航班有经济舱
flight 	 飞行
list flights from atlanta to boston on wednesday afternoon and thursday morning 	 列出周三下午和周四上午从亚特兰大飞往波士顿的航班
aircraft 	 飞机
what is the smallest aircraft available to fly on from pittsburgh to baltimore 	 从匹兹堡飞往巴尔的摩最小的飞机是什么
airline 	 航空公司
what airline is ea 	 航空公司是什么
flight 	 飞行
what is the last flight from dallas to boston in the evening 	 晚上从达拉斯到波士顿的最后一次飞行是什么
flight 	 飞行
i would like information on a flight between washington and san francisco with a stopover in dallas 	 我想知道华盛顿和旧金山之间在达拉斯中途停留的航班信息
abbreviation 	 缩写
what is fare code f 	 票价代码f是什么
flight 	 飞行
show me the flights arriving at love field from other airports 	 告诉我从其他机场到达爱田的航班
flight 	 飞行
i need a flight from logan to atlanta this afternoon 	 我今天下午需要从洛根飞往亚特兰大的航班
flight 	 飞行
flights that go from oakland to philadelphia on friday 	 星期五从奥克兰飞往费城的航班
distance 	 距离
what is the distance from san francisco international airport to san francisco 	 旧金山国际机场到旧金山的距离是多少
flight 	 飞行
tell me about flights leaving from atlanta and going to charlotte north carolina next monday i need to know about flights that arrive in charlotte between 415 and 530 pm 	 告诉我下周一从亚特兰大出发并去夏洛特北卡罗莱纳州的航班，我需要知道在415到530 pm之间到达夏洛特的航班
flight 	 飞行
i'd like to fly between boston and san francisco 	 我想在波士顿和旧金山之间飞
flight 	 飞行
what flights from atlanta to toronto 	 从亚特兰大飞往多伦多的航班
flight 	 飞行
i'd like to go from boston to san francisco with a stop in dallas 	 我想在达拉斯停下来从波士顿到旧金山
flight 	 飞行
show me all flights from san diego to miami with a stop in denver 	 告诉我所有从圣地亚哥飞往迈阿密的航班，在丹佛停留
flight 	 飞行
i'm flying from boston to the bay area 	 我正从波士顿飞往海湾地区
flight 	 飞行
show all flights and fares from denver to san francisco 	 显示从丹佛到旧金山的所有航班和票价
flight 	 飞行
is there an afternoon flight from charlotte to minneapolis around 2 pm 	 下午2点左右有从夏洛特到明尼阿波利斯的下午航班吗
flight 	 飞行
show me the continental flights leaving chicago early saturday morning 	 向我显示周六清晨从芝加哥出发的大陆航班
flight 	 飞行
what is the earliest flight between logan and bwi 	 洛根和bwi之间最早的航班是多少
ground 	 地面
what is the ground transportation between airport and baltimore 	 机场和巴尔的摩之间的地面交通是什么
flight 	 飞行
show flights from pittsburgh into san francisco 	 显示从匹兹堡到旧金山的航班
flight 	 飞行
information on flights from denver to philadelphia 	 从丹佛到费城的航班信息
flight 	 飞行
what is the earliest american airlines flight leaving philadelphia for dallas 	 美国航空从费城飞往达拉斯的最早航班是什么
airline 	 航空公司
does any airline have an early afternoon flight from boston to pittsburgh 	 是否有航空公司有从波士顿到匹兹堡的下午航班
flight 	 飞行
display all flights from dallas to boston on july thirtieth 	 显示7月30日从达拉斯到波士顿的所有航班
flight 	 飞行
list nonstop flights from houston to dallas which arrive after 8 pm 	 列出从休斯敦到达拉斯的直飞航班，这些航班将在晚上8点之后到达
flight 	 飞行
i need to go to san diego from toronto but i want to stopover in denver 	 我需要从多伦多去圣地亚哥，但我想在丹佛中途停留
flight 	 飞行
show me the morning flights from boston to philadelphia 	 告诉我早上从波士顿飞往费城的航班
flight 	 飞行
an early flight on wednesday morning from baltimore to newark 	 周三早上从巴尔的摩飞往纽瓦克的较早航班
flight 	 飞行
what flights are there from memphis to las vegas 	 从孟菲斯到拉斯维加斯有哪些航班
flight 	 飞行
what flights from washington to toronto 	 从华盛顿飞往多伦多的航班
flight 	 飞行
find a flight from charlotte to las vegas that stop in st.louis that serve dinner and i want to find the airline for this flight 	 查找从夏洛特到拉斯维加斯的航班，该航班在圣保罗停止。路易斯提供晚餐，我想找到这个航班的航空公司
flight 	 飞行
what's the earliest flight from san jose to houston 	 从圣何塞到休斯顿最早的航班是多少
airfare 	 机票
how much does flight dl 402 from denver to philadelphia cost 	 丹佛到费城dl 402航班需要多少钱
flight 	 飞行
what is the last flight of the day to leave baltimore for boston 	 离开巴尔的摩去波士顿的一天最后一班飞机是什么
airline 	 航空公司
show me airlines with flights from pittsburgh to boston please 	 请向我显示从匹兹堡到波士顿的航班的航空公司
flight 	 飞行
first class from detroit to st.petersburg 	 从底特律到圣约翰的头等舱。彼得斯堡
flight 	 飞行
i want to go from san francisco to denver 	 我想从旧金山去丹佛
flight 	 飞行
find the earliest flight from boston to san francisco that serves a meal 	 查找从波士顿飞往旧金山的最早的一顿饭
flight 	 飞行
find travel arrangements for a round trip flight from dallas to pittsburgh 	 查找从达拉斯到匹兹堡的往返航班的旅行安排
flight 	 飞行
show me flights from milwaukee to orlando on wednesday night or thursday morning 	 在星期三晚上或星期四早晨，向我显示从密尔沃基飞往奥兰多的航班
abbreviation 	 缩写
does dl stand for delta 	 dl代表三角洲吗
flight 	 飞行
list all flights leaving denver on continental on sunday after 2134 	 列出2134年后星期日在大陆上离开丹佛的所有航班
flight 	 飞行
listing of all first class flights from washington to san francisco 	 从华盛顿到旧金山的所有头等舱航班的清单
flight 	 飞行
give me nonstop flights from new york city to las vegas 	 给我从纽约到拉斯维加斯的直飞航班
flight 	 飞行
i'd like to book a flight from denver to pittsburgh and i'd like to go on eastern airlines 	 我想预订一个从丹佛到匹兹堡的航班，我想乘坐东方航空公司的航班
flight 	 飞行
show me the flights on friday from newark to tampa 	 告诉我星期五从纽瓦克到坦帕的航班
flight 	 飞行
flights from pittsburgh to baltimore between 10 am and 2 pm 	 匹兹堡飞往巴尔的摩的航班，时间为上午10点至下午2点
flight 	 飞行
what is the schedule of flights from boston to denver next monday 	 下周一从波士顿到丹佛的航班时间表是什么
flight 	 飞行
show me all direct flights from san francisco to boston departing before noon 	 显示我从旧金山到波士顿的所有直航在中午之前出发
meal 	 膳食
what are all the available meals 	 什么都可以吃
flight 	 飞行
show me the cheapest flight on june fourteenth arriving in baltimore starting from dallas 	 告诉我6月14日最便宜的航班从达拉斯到达巴尔的摩
flight 	 飞行
i need a flight from san francisco to boston that leaves after 7 am 	 我需要从旧金山飞往波士顿的航班，早上7点后出发
flight 	 飞行
from philadelphia to toronto 	 从费城到多伦多
airfare 	 机票
what is the cheapest fare from washington to san francisco 	 从华盛顿到旧金山最便宜的车费是多少
flight 	 飞行
what flights are there from new york city to las vegas 	 从纽约到拉斯维加斯有哪些航班
flight 	 飞行
what is the first flight from boston to atlanta 	 从波士顿到亚特兰大的首次航班是什么
flight 	 飞行
please give me flight schedules from baltimore to philadelphia 	 请给我从巴尔的摩到费城的航班时刻表
flight 	 飞行
what flights from kansas city to denver after 845 in the morning 	 早上845后从堪萨斯城飞往丹佛的航班
ground 	 地面
what is the ground transportation from boston airport to boston downtown 	 从波士顿机场到波士顿市区的地面交通是什么
flight 	 飞行
from los angeles to phoenix on a friday 	 从星期五到洛杉矶到凤凰城
flight 	 飞行
dallas to oakland monday 	 达拉斯到奥克兰星期一
flight 	 飞行
all flights from boston to washington dc on november eleventh 	 所有的航班，从波士顿为华盛顿特区，11月11日
flight 	 飞行
could you please find me a nonstop flight from atlanta to baltimore on a boeing 757 arriving at 7 pm 	 您能找到我吗，一架波音757从亚特兰大飞往巴尔的摩的直飞航班在晚上7点到达
flight 	 飞行
what are the flights available in the morning between boston and denver 	 波士顿到丹佛早上有哪些航班
ground 	 地面
ground transportation in dallas and boston 	 达拉斯和波士顿的地面运输
flight 	 飞行
what flights are available from atlanta to oakland with one way economy fares 	 从亚特兰大到奥克兰的单程经济票价航班有哪些
flight 	 飞行
do you have a flight from atlanta to boston that will stop in washington 	 您有从亚特兰大飞往波士顿的航班，该航班将在华盛顿停留
flight 	 飞行
i live in denver and i'd like to make a trip to atlanta 	 我住在丹佛，我想去亚特兰大旅行
flight 	 飞行
show me the united flights from denver to baltimore 	 告诉我从丹佛到巴尔的摩的联合航班
city 	 市
is bwi washington 	 是华盛顿
flight 	 飞行
list the flights from new york to miami on a tuesday which are nonstop and cost less than 466 dollars 	 列出星期二从纽约到迈阿密的直飞航班，费用不到466美元
flight 	 飞行
i would like to fly from denver to boston 	 我想从丹佛飞到波士顿
flight 	 飞行
what flights do you have leaving denver and arriving in san francisco 	 您从丹佛（Denver）到达旧金山有哪些航班
airline 	 航空公司
what airlines fly from philadelphia to san francisco 	 有哪些航空公司从费城飞往旧金山
flight 	 飞行
i would like a flight on continental airlines on august twentieth from washington to pittsburgh 	 我想在八月二十号从华盛顿飞往匹兹堡的大陆航空上飞行
flight 	 飞行
